User ID,Hangout Place,Date,Time,Number of People
757,"The GrEEK Campus - Tahrir Square, Cairo",2022-11-06 19:00:00,19:00:00,9
776,The Tap Maadi - Cairo,2022-01-30 19:00:00,19:00:00,9
197,Crazy Water Park,2022-12-26 22:00:00,22:00:00,4
167,"Sufi - Zamalek, Cairo",2022-08-01 00:00:00,00:00:00,1
700,"The Greek Campus, Cairo",2021-07-28 09:00:00,09:00:00,6
79,"Enab Beirut, Cairo",2021-11-17 19:00:00,19:00:00,5
702,Hysteria Egypt - Cairo,2022-05-23 16:00:00,16:00:00,3
95,Dream Park,2021-12-27 05:00:00,05:00:00,6
270,Downtown Mall,2022-06-11 22:00:00,22:00:00,7
413,Al Kholafaa Al Rashedeen Mosque Park,2021-07-30 09:00:00,09:00:00,10
658,Miami Park,2022-03-31 18:00:00,18:00:00,5
917,Siwa Mountain,2021-10-06 17:00:00,17:00:00,3
879,Escape It Egypt - Alexandria,2022-04-17 01:00:00,01:00:00,4
475,"The Tap Maadi Street 9, Cairo",2022-05-10 08:00:00,08:00:00,7
969,The Nile Ritz-Carlton - Cairo,2023-01-19 16:00:00,16:00:00,1
308,Mersa Matrouh Beach,2022-05-21 13:00:00,13:00:00,4
121,Heliopolis Sporting Club - Cairo,2021-11-03 15:00:00,15:00:00,3
366,Escape Egypt - Alexandria,2022-09-20 06:00:00,06:00:00,1
450,"Bus Stop, Cairo",2021-10-26 13:00:00,13:00:00,9
982,Tahrir Square,2022-02-21 02:00:00,02:00:00,4
392,"Livingstone, Cairo",2022-11-14 18:00:00,18:00:00,10
561,"I Bistro Bar, Cairo",2022-07-11 02:00:00,02:00:00,4
817,"Le Deck, Alexandria",2022-02-09 13:00:00,13:00:00,3
320,Le Méridien Pyramids Hotel & Spa - Cairo,2021-12-13 12:00:00,12:00:00,3
505,Karnak Temple,2021-08-14 09:00:00,09:00:00,5
326,The British Council - Cairo,2022-10-07 07:00:00,07:00:00,7
397,The Great Escape Egypt - Alexandria,2021-08-14 02:00:00,02:00:00,1
152,Arabella Country Club,2022-05-20 01:00:00,01:00:00,2
372,Ramses Hilton - Cairo,2023-01-15 18:00:00,18:00:00,6
848,The Japan Foundation - Cairo,2022-06-29 10:00:00,10:00:00,9
775,Aqua Blu Sharm El Sheikh,2022-07-17 15:00:00,15:00:00,9
893,The Cairo Opera House - Cairo,2021-11-10 12:00:00,12:00:00,6
437,El Dammah Theater - Cairo,2022-09-30 05:00:00,05:00:00,9
127,"Caffe Greco - Heliopolis, Cairo",2021-09-04 08:00:00,08:00:00,6
975,"La Poire Cafe - Nasr City, Cairo",2022-05-31 15:00:00,15:00:00,3
380,Challenge Chambers Egypt - Cairo,2022-11-18 22:00:00,22:00:00,9
949,Panic Room Egypt - Cairo,2022-07-22 01:00:00,01:00:00,2
738,"Aqua Park, Sharm El Sheikh",2022-08-18 14:00:00,14:00:00,2
789,The Box Egypt - Cairo,2022-08-05 14:00:00,14:00:00,8
744,El Dammah Theater - Cairo,2022-03-29 14:00:00,14:00:00,6
918,"L'Oasis, Cairo",2021-07-24 13:00:00,13:00:00,5
821,"Teatro, Cairo",2021-09-24 19:00:00,19:00:00,1
849,Dream Park,2022-12-23 06:00:00,06:00:00,7
791,Insomnia Egypt - Cairo,2022-12-07 19:00:00,19:00:00,6
533,Arabella Country Club,2022-12-11 19:00:00,19:00:00,10
786,Escape Room Egypt - Alexandria,2021-08-19 02:00:00,02:00:00,7
858,Al Horreya Park,2022-09-19 13:00:00,13:00:00,4
559,Sharm Plaza,2023-02-01 08:00:00,08:00:00,4
363,Royal Mall,2022-10-19 11:00:00,11:00:00,1
299,Porto Cairo Mall - Cairo,2022-06-06 12:00:00,12:00:00,4
699,"El Fishawy, Cairo",2022-03-25 10:00:00,10:00:00,8
974,Sun Rise Aqua Park,2022-02-01 04:00:00,04:00:00,1
387,Escapology Egypt - Alexandria,2021-10-27 11:00:00,11:00:00,8
