place_id,place_name,place_type,popularity,rating_count,average_rating,budget,keywords
130,Aqua Blu Sharm El Sheikh,['outdoor'],3690,500,1.87,2430,"['Movies and TV', 'Outdoor activities', 'Pet lovers', 'Travel', 'Parenting', 'Science and nature', 'Food and drink']"
128,El Tanboura Hall - Cairo,"['outdoor', 'indoor']",9221,100,1.52,207,"['Food and drink', 'Outdoor activities', 'Art and culture', 'Music', 'Sports', 'Photography', 'Volunteering', 'Parenting', 'Cars', 'Health and fitness', 'Reading', 'Gardening', 'Fashion', 'Technology', 'Movies and TV', 'Travel', 'Dancing', 'Science and nature', 'DIY and crafts']"
931,Qasr Al Sarab Desert Resort,['outdoor'],8629,4000,3.34,425,"['Pet lovers', 'Science and nature', 'Technology', 'Art and culture', 'Gardening', 'Travel', 'Health and fitness', 'Fashion', 'Sports', 'History and politics', 'DIY and crafts', 'Parenting', 'Music', 'Dancing', 'Cars', 'Photography', 'Food and drink', 'Reading', 'Volunteering', 'Outdoor activities']"
838,Exit Egypt - Cairo,['outdoor'],9253,3000,2.33,2874,"['Fashion', 'Travel', 'Food and drink', 'Art and culture', 'Outdoor activities', 'Music', 'DIY and crafts']"
754,"Terrace Cafe & Bar, Cairo","['indoor', 'outdoor']",5284,100,3.54,1281,"['Dancing', 'Outdoor activities', 'Music', 'Technology', 'Parenting', 'Volunteering', 'Movies and TV', 'Health and fitness', 'Gardening', 'Pet lovers', 'DIY and crafts', 'Sports', 'Science and nature', 'Travel', 'Cars', 'Reading', 'Photography', 'Food and drink', 'Art and culture']"
395,Pyramids Land,"['outdoor', 'indoor']",3643,1000,1.97,2194,"['Health and fitness', 'Technology', 'Music', 'Food and drink', 'Reading', 'Science and nature', 'Fashion', 'Travel', 'Outdoor activities', 'Sports', 'Cars', 'DIY and crafts', 'Art and culture']"
837,Luna Park,['outdoor'],5708,500,1.35,2068,"['Gardening', 'Reading', 'Pet lovers', 'Movies and TV', 'DIY and crafts', 'Parenting', 'History and politics', 'Outdoor activities', 'Photography', 'Volunteering', 'Dancing']"
928,"Taht El Saytara, Cairo",['outdoor'],7802,200,4.39,2838,"['Outdoor activities', 'Technology', 'Science and nature', 'Gardening', 'Sports', 'Art and culture', 'Health and fitness', 'Parenting', 'Dancing', 'Cars', 'DIY and crafts', 'Fashion', 'History and politics', 'Reading', 'Food and drink']"
65,"Tintawi - Maadi, Cairo",['outdoor'],1145,200,2.66,489,"['History and politics', 'Movies and TV', 'Health and fitness', 'Food and drink', 'Music', 'Technology', 'Parenting', 'Gardening', 'Photography', 'Travel', 'Sports', 'Outdoor activities', 'Dancing', 'Cars', 'Pet lovers', 'Science and nature', 'DIY and crafts', 'Art and culture', 'Fashion', 'Volunteering', 'Reading']"
205,Downtown Mall,"['outdoor', 'indoor']",5542,500,2.9,1660,"['Parenting', 'Travel', 'DIY and crafts', 'Food and drink']"
