place_id,place_name,place_type,popularity,rating_count,average_rating,budget,keywords
140,Shooting Club - Cairo,['outdoor'],1988,2000,3.69,1000,['Food and drink']
37,El Gezira Sporting Club - Cairo,"['indoor', 'outdoor']",936,10000,4.31,100,"['Movies and TV', 'Travel', 'Outdoor activities', 'Dancing', 'Technology', 'Art and culture', 'Sports', 'Reading', 'Volunteering', 'Music', 'Health and fitness', 'Gardening', 'Food and drink', 'DIY and crafts', 'Fashion']"
358,Al-Fayoum Oasis,"['outdoor', 'indoor']",4507,10000,3.75,100,"['Technology', 'Fashion', 'Reading', 'Gardening', 'Dancing', 'Outdoor activities', 'Science and nature', 'Pet lovers', 'History and politics']"
275,Enchanted Escape Egypt - Cairo,['outdoor'],2194,3000,2.51,100,"['Science and nature', 'Cars', 'History and politics', 'Dancing', 'Pet lovers', 'Sports', 'Movies and TV', 'Travel', 'DIY and crafts', 'Outdoor activities', 'Reading', 'Gardening', 'Art and culture', 'Music', 'Fashion', 'Photography', 'Technology', 'Volunteering']"
578,Cairo Marriott Hotel - Cairo,"['indoor', 'outdoor']",822,100,2.33,1000,"['Pet lovers', 'Cars', 'Sports', 'Photography', 'Technology', 'Travel', 'Fashion', 'Volunteering', 'DIY and crafts', 'History and politics', 'Art and culture', 'Health and fitness', 'Gardening', 'Dancing', 'Food and drink', 'Science and nature', 'Music']"
102,The Coven Egypt - Cairo,['indoor'],2568,500,1.6,250,"['Dancing', 'Art and culture', 'Technology', 'Sports', 'Food and drink', 'Outdoor activities', 'Travel', 'Movies and TV', 'History and politics', 'Music', 'DIY and crafts', 'Health and fitness']"
319,Time Lapse Egypt - Cairo,"['outdoor', 'indoor']",3678,2000,4.38,1000,"['Food and drink', 'Fashion', 'Dancing', 'Health and fitness', 'Gardening', 'Volunteering', 'DIY and crafts', 'Art and culture', 'Technology', 'Reading', 'Sports']"
123,"Pane Vino, Alexandria",['indoor'],8290,3000,3.21,100,"['Art and culture', 'Volunteering', 'Travel', 'Movies and TV', 'Reading', 'History and politics', 'Cars', 'Fashion', 'Science and nature', 'Health and fitness', 'Outdoor activities', 'Sports', 'Photography']"
284,"Mugg & Bean - Zamalek, Cairo","['indoor', 'outdoor']",5771,5000,3.87,1000,"['Pet lovers', 'Technology', 'Science and nature', 'Art and culture', 'Parenting', 'Food and drink', 'Travel', 'Outdoor activities', 'Reading', 'Cars', 'Dancing', 'Sports', 'Photography', 'Fashion', 'Volunteering', 'DIY and crafts', 'Movies and TV', 'Gardening', 'Health and fitness']"
802,Pyramids Park Resort Cairo - Cairo,"['outdoor', 'indoor']",169,200,3.07,500,"['History and politics', 'Fashion', 'DIY and crafts', 'Outdoor activities', 'Technology', 'Art and culture', 'Parenting', 'Sports']"
19,Mirage Park,['outdoor'],3903,3000,3.86,500,"['Science and nature', 'Sports']"
842,Tiba Outlet Mall,"['indoor', 'outdoor']",4583,200,4.35,250,"['Pet lovers', 'Cars', 'Parenting', 'Reading', 'Photography', 'Fashion', 'Technology', 'Dancing', 'Outdoor activities', 'Sports', 'Travel', 'Health and fitness', 'Food and drink', 'Science and nature', 'Music', 'DIY and crafts', 'Art and culture', 'Gardening', 'Volunteering', 'History and politics']"
30,The Mall of Arabia,"['indoor', 'outdoor']",3609,10000,3.52,250,"['Music', 'DIY and crafts', 'Cars', 'Volunteering', 'Science and nature', 'Pet lovers', 'Parenting', 'Dancing']"
213,Family Park in Maadi,"['outdoor', 'indoor']",4909,3000,2.98,500,"['History and politics', 'Music', 'Gardening', 'Cars', 'DIY and crafts', 'Health and fitness', 'Parenting', 'Travel', 'Movies and TV', 'Outdoor activities', 'Sports', 'Science and nature', 'Food and drink', 'Art and culture', 'Fashion', 'Photography', 'Dancing', 'Pet lovers', 'Reading', 'Volunteering']"
53,"Left Bank, Alexandria",['indoor'],3286,1000,2.99,1000,"['Photography', 'Movies and TV', 'Food and drink', 'Pet lovers', 'Cars', 'Volunteering', 'Music', 'Health and fitness', 'Gardening', 'Reading', 'Technology', 'Fashion', 'Sports', 'DIY and crafts']"
205,A.S.E. Egypt - Cairo,"['indoor', 'outdoor']",9700,100,1.77,500,"['Dancing', 'DIY and crafts', 'Fashion', 'Gardening', 'Pet lovers', 'Volunteering']"
317,Jungle Aqua Park Hurghada,['indoor'],3798,5000,2.96,500,"['Movies and TV', 'Outdoor activities', 'DIY and crafts', 'Science and nature', 'Food and drink', 'Dancing', 'Health and fitness', 'Gardening', 'History and politics', 'Sports', 'Technology', 'Pet lovers', 'Fashion', 'Parenting', 'Art and culture', 'Travel']"
325,Locked Up Egypt - Cairo,['outdoor'],9409,100,2.03,100,"['Technology', 'Photography', 'Cars', 'Outdoor activities', 'Reading', 'Science and nature', 'Movies and TV', 'Food and drink']"
725,Escape Plan Egypt - Cairo,"['outdoor', 'indoor']",1945,3000,4.27,500,"['Gardening', 'Volunteering', 'DIY and crafts', 'Cars', 'Music', 'Sports', 'Pet lovers', 'Movies and TV']"
67,Tahrir Square,['outdoor'],4661,10000,3.73,100,"['Gardening', 'Cars', 'Food and drink', 'Music', 'Travel', 'DIY and crafts', 'Fashion', 'Photography', 'Reading', 'Movies and TV', 'Outdoor activities', 'Volunteering', 'Dancing', 'Art and culture', 'Pet lovers', 'History and politics', 'Science and nature', 'Parenting', 'Sports']"
237,El Gomhoreya Theatre - Cairo,['outdoor'],9263,5000,4.86,100,"['Parenting', 'Reading', 'Health and fitness', 'DIY and crafts', 'Pet lovers', 'Technology', 'Travel', 'Movies and TV', 'Food and drink', 'Dancing', 'Photography']"
805,The Magnolia Hall - Cairo,['outdoor'],2029,10000,3.32,500,"['Movies and TV', 'Fashion', 'Parenting']"
80,Point 90 Mall - New Cairo,"['indoor', 'outdoor']",5121,10000,3.05,100,"['Outdoor activities', 'Reading', 'Fashion', 'Gardening', 'History and politics', 'Parenting', 'Cars', 'Food and drink', 'Health and fitness', 'Dancing', 'Travel', 'Technology']"
999,"Eish & Malh - Zamalek, Cairo",['outdoor'],546,100,2.65,500,"['Science and nature', 'Outdoor activities', 'Movies and TV', 'Gardening', 'Travel', 'History and politics', 'Health and fitness', 'Cars', 'Parenting', 'Volunteering', 'Fashion', 'Art and culture', 'Technology', 'Food and drink', 'Photography', 'Music', 'DIY and crafts', 'Reading']"
224,Cairo International Stadium - Cairo,"['outdoor', 'indoor']",8786,2000,1.39,250,"['Music', 'Dancing', 'Movies and TV', 'Volunteering', 'Cars', 'Fashion', 'Sports', 'Food and drink', 'Photography', 'Outdoor activities', 'Art and culture', 'Health and fitness', 'DIY and crafts', 'Gardening', 'Parenting', 'Technology', 'Travel', 'Science and nature', 'Reading']"
283,Blue Bay,['indoor'],4364,3000,3.34,100,"['Technology', 'Gardening', 'Art and culture', 'Pet lovers', 'Fashion', 'Movies and TV', 'Music', 'Outdoor activities', 'Volunteering']"
988,The Basement Egypt - Cairo,['outdoor'],2662,5000,2.09,100,"['Technology', 'Food and drink', 'Health and fitness']"
264,Fun City,['indoor'],7537,1000,1.2,250,"['Movies and TV', 'Photography', 'Pet lovers', 'Outdoor activities', 'Travel', 'History and politics', 'Art and culture', 'Volunteering', 'Music', 'Fashion', 'Gardening', 'Food and drink', 'Technology', 'Sports', 'Parenting', 'Dancing', 'Cars']"
614,Breakout Egypt - Cairo,"['outdoor', 'indoor']",5116,200,3.88,1000,"['Parenting', 'Technology', 'Reading', 'Health and fitness', 'Science and nature', 'Music', 'Gardening', 'Pet lovers', 'Dancing', 'Fashion', 'History and politics', 'Outdoor activities', 'Sports']"
364,Oyoun Mousa,"['outdoor', 'indoor']",5156,200,4.14,1000,['Art and culture']
841,"Tamara Lebanese Bistro, Cairo",['indoor'],4792,10000,4.1,250,"['Sports', 'Art and culture', 'Movies and TV', 'Travel', 'Technology', 'Food and drink', 'Pet lovers', 'Reading', 'Music', 'Cars', 'Dancing', 'DIY and crafts', 'Parenting', 'Outdoor activities', 'History and politics']"
790,Fun Kingdom,"['outdoor', 'indoor']",1811,500,2.14,1000,"['Reading', 'Art and culture', 'Sports', 'Movies and TV', 'Pet lovers', 'Science and nature', 'Health and fitness', 'Music', 'Outdoor activities', 'DIY and crafts', 'Dancing', 'Food and drink', 'Gardening', 'Volunteering', 'History and politics']"
992,The Basement Egypt - Cairo,"['indoor', 'outdoor']",9160,10000,1.58,500,"['Fashion', 'Travel', 'Photography', 'Gardening', 'DIY and crafts', 'Music', 'Reading']"
608,Family Land,"['outdoor', 'indoor']",6343,200,2.95,100,"['Sports', 'Health and fitness', 'Outdoor activities', 'Volunteering', 'Parenting', 'Photography', 'Dancing', 'History and politics', 'Reading', 'Art and culture', 'DIY and crafts']"
238,Room Escape Egypt - Cairo,"['outdoor', 'indoor']",2571,1000,4.48,250,"['Science and nature', 'Music', 'Movies and TV', 'Pet lovers', 'Volunteering', 'Outdoor activities', 'Reading', 'Art and culture', 'Dancing', 'History and politics']"
803,Tiba Outlet Mall,"['indoor', 'outdoor']",5254,200,4.41,500,"['Fashion', 'Cars', 'Art and culture', 'Technology', 'Outdoor activities', 'Gardening', 'Dancing', 'Health and fitness', 'Travel', 'DIY and crafts', 'Food and drink', 'Reading', 'Music', 'Movies and TV', 'Volunteering', 'Science and nature', 'Pet lovers', 'Sports']"
322,The St. Regis Cairo - Cairo,['outdoor'],8646,200,3.73,500,"['Parenting', 'Reading', 'Travel', 'Food and drink', 'Photography', 'Outdoor activities', 'History and politics', 'Health and fitness', 'Fashion', 'Technology', 'Pet lovers', 'Movies and TV', 'Dancing']"
393,Serapium Forest,"['indoor', 'outdoor']",6429,4000,4.78,1000,"['Health and fitness', 'Science and nature', 'Parenting', 'Gardening', 'Art and culture', 'Food and drink', 'Travel', 'Music', 'Dancing', 'Movies and TV', 'Technology', 'Volunteering', 'History and politics', 'DIY and crafts', 'Photography', 'Pet lovers', 'Reading', 'Sports', 'Outdoor activities', 'Fashion', 'Cars']"
989,"Little Buddha, Sharm El Sheikh",['indoor'],7457,100,2.25,100,"['Sports', 'Outdoor activities', 'Cars', 'Food and drink', 'Music', 'Reading', 'Parenting', 'Volunteering', 'Health and fitness', 'Fashion']"
967,"Le Deck, Alexandria",['outdoor'],4525,4000,2.13,250,"['Music', 'Photography', 'Volunteering', 'History and politics', 'Outdoor activities', 'Dancing', 'Science and nature']"
637,Kempinski Nile Hotel - Cairo,"['outdoor', 'indoor']",3774,2000,2.39,500,"['Outdoor activities', 'Health and fitness', 'Volunteering', 'DIY and crafts', 'Parenting']"
829,Escape Egypt - Alexandria,['indoor'],4278,100,4.95,250,"['Pet lovers', 'Volunteering', 'Gardening', 'Fashion', 'Photography', 'DIY and crafts', 'Travel', 'Technology', 'Cars', 'Art and culture', 'Sports', 'Movies and TV', 'Food and drink']"
800,ClueZ Egypt - Cairo,"['outdoor', 'indoor']",998,500,1.05,500,"['Music', 'Cars', 'Dancing', 'Gardening', 'Science and nature', 'History and politics', 'Food and drink', 'Travel']"
